,pageid,text,title,statistics,ml,text_preproc
271,61994831,"In mathematics, homotopy theory is a systematic study of situations in which maps come with homotopies between them. It originated as a topic in algebraic topology but nowadays is studied as an independent discipline. Besides algebraic topology, the theory has also been used in other areas of mathematics such as algebraic geometry (e.g., A1 homotopy theory) and category theory (specifically the study of higher categories).",Homotopy theory,1,0,"['mathematics', 'homotopy', 'theory', 'systematic', 'study', 'situations', 'maps', 'homotopies', 'originated', 'topic', 'algebraic', 'topology', 'nowadays', 'studied', 'independent', 'discipline', 'algebraic', 'topology', 'theory', 'areas', 'mathematics', 'algebraic', 'geometry', 'homotopy', 'theory', 'category', 'theory', 'study', 'higher', 'categories']"
272,2099648,"How to Lie with Statistics is a book written by Darrell Huff in 1954 presenting an introduction to statistics for the general reader. Not a statistician, Huff was a journalist who wrote many ""how to"" articles as a freelancer.
The book is a brief, breezy illustrated volume outlining the misuse of statistics and errors in the interpretation of statistics, and how these errors may create incorrect conclusions.
In the 1960s and 1970s, it became a standard textbook introduction to the subject of statistics for many college students.  It has become one of the best-selling statistics books in history, with over one and a half million copies sold in the English-language edition. It has also been widely translated.
Themes of the book include ""Correlation does not imply causation"" and ""Using random sampling"". It also shows how statistical graphs can be used to distort reality, for example by truncating the bottom of a line or bar chart, so that differences seem larger than they are, or by representing one-dimensional quantities on a pictogram by two- or three-dimensional objects to compare their sizes, so that the reader forgets that the images do not scale the same way the quantities do.
The original edition contained illustrations by artist Irving Geis. In a UK edition, these were replaced with cartoons by Mel Calman.

",How to Lie with Statistics,1,0,"['lie', 'statistics', 'book', 'written', 'darrell', 'huff', 'presenting', 'introduction', 'statistics', 'general', 'reader', 'statistician', 'huff', 'journalist', 'wrote', 'articles', 'freelancer', 'book', 'breezy', 'illustrated', 'volume', 'outlining', 'misuse', 'statistics', 'errors', 'interpretation', 'statistics', 'errors', 'create', 'incorrect', 'conclusions', 'standard', 'textbook', 'introduction', 'subject', 'statistics', 'college', 'students', 'bestselling', 'statistics', 'books', 'history', 'copies', 'sold', 'englishlanguage', 'edition', 'translated', 'themes', 'book', 'include', 'correlation', 'imply', 'causation', 'random', 'sampling', 'statistical', 'graphs', 'distort', 'reality', 'truncating', 'bar', 'chart', 'differences', 'larger', 'representing', 'onedimensional', 'quantities', 'pictogram', 'threedimensional', 'objects', 'compare', 'sizes', 'reader', 'forgets', 'images', 'scale', 'quantities', 'original', 'edition', 'contained', 'illustrations', 'artist', 'irving', 'geis', 'uk', 'edition', 'replaced', 'cartoons', 'mel', 'calman']"
273,26666199,"In mathematics, hypercomplex analysis is the basic extension of real analysis and complex analysis to the study of functions where the argument is a hypercomplex number. The first instance is functions of a quaternion variable, where the argument is a quaternion (in this case, the sub-field of hypercomplex analysis is called quaternionic analysis).  A second instance involves functions of a motor variable where arguments are split-complex numbers.
In mathematical physics, there are hypercomplex systems called Clifford algebras. The study of functions with arguments from a Clifford algebra is called Clifford analysis.
A matrix may be considered a hypercomplex number. For example, the study of functions of 2 × 2 real matrices shows that the topology of the space of hypercomplex numbers determines the function theory. Functions such as square root of a matrix, matrix exponential, and logarithm of a matrix are basic examples of hypercomplex analysis. 
The function theory of diagonalizable matrices is particularly transparent since they have eigendecompositions. Suppose 
  
    
      
        
          T
          =
          
            ∑
            
              i
              =
              1
            
            
              N
            
          
          
            λ
            
              i
            
          
          
            E
            
              i
            
          
        
      
    
    {\displaystyle \textstyle T=\sum _{i=1}^{N}\lambda _{i}E_{i}}
   where the Ei are projections. Then for any polynomial 
  
    
      
        f
      
    
    {\displaystyle f}
  , 
  
    
      
        f
        (
        T
        )
        =
        
          ∑
          
            i
            =
            1
          
          
            N
          
        
        f
        (
        
          λ
          
            i
          
        
        )
        
          E
          
            i
          
        
        .
      
    
    {\displaystyle f(T)=\sum _{i=1}^{N}f(\lambda _{i})E_{i}.}
   
The modern terminology for a ""system of hypercomplex numbers"" is an algebra over the real numbers, and the algebras used in applications are often Banach algebras since Cauchy sequences can be taken to be convergent. Then the function theory is enriched by sequences and series. In this context the extension of holomorphic functions of a complex variable is developed as the holomorphic functional calculus.  Hypercomplex analysis on Banach algebras is called functional analysis.",Hypercomplex analysis,1,0,"['mathematics', 'hypercomplex', 'analysis', 'basic', 'extension', 'real', 'analysis', 'complex', 'analysis', 'study', 'functions', 'argument', 'hypercomplex', 'number', 'instance', 'functions', 'quaternion', 'variable', 'argument', 'quaternion', 'case', 'subfield', 'hypercomplex', 'analysis', 'called', 'quaternionic', 'analysis', 'instance', 'involves', 'functions', 'motor', 'variable', 'arguments', 'splitcomplex', 'numbers', 'mathematical', 'physics', 'hypercomplex', 'systems', 'called', 'clifford', 'algebras', 'study', 'functions', 'arguments', 'clifford', 'algebra', 'called', 'clifford', 'analysis', 'matrix', 'considered', 'hypercomplex', 'number', 'study', 'functions', 'real', 'matrices', 'topology', 'space', 'hypercomplex', 'numbers', 'determines', 'function', 'theory', 'functions', 'square', 'root', 'matrix', 'matrix', 'exponential', 'logarithm', 'matrix', 'basic', 'examples', 'hypercomplex', 'analysis', 'function', 'theory', 'diagonalizable', 'matrices', 'transparent', 'eigendecompositions', 'suppose', 'λ', 'displaystyle', 'textstyle', 'tsum', '_inlambda', '_ie_i', 'ei', 'projections', 'polynomial', 'displaystyle', 'λ', 'displaystyle', 'ftsum', '_inflambda', '_ie_i', 'modern', 'terminology', 'hypercomplex', 'numbers', 'algebra', 'real', 'numbers', 'algebras', 'applications', 'banach', 'algebras', 'cauchy', 'sequences', 'convergent', 'function', 'theory', 'enriched', 'sequences', 'series', 'context', 'extension', 'holomorphic', 'functions', 'complex', 'variable', 'developed', 'holomorphic', 'functional', 'calculus', 'hypercomplex', 'analysis', 'banach', 'algebras', 'called', 'functional', 'analysis']"
275,97922,"Digital image processing is the use of a digital computer to process digital images through an algorithm. As a subcategory or field of digital signal processing, digital image processing has many advantages over analog image processing. It allows a much wider range of algorithms to be applied to the input data and can avoid problems such as the build-up of noise and distortion during processing. Since images are defined over two dimensions (perhaps more) digital image processing may be modeled in the form of multidimensional systems. The generation and development of digital image processing are mainly affected by three factors: first, the development of computers; second, the development of mathematics (especially the creation and improvement of discrete mathematics theory); third, the demand for a wide range of applications in environment, agriculture, military, industry and medical science has increased.

",Digital image processing,1,0,"['digital', 'image', 'processing', 'digital', 'process', 'digital', 'images', 'algorithm', 'subcategory', 'field', 'digital', 'signal', 'processing', 'digital', 'image', 'processing', 'advantages', 'analog', 'image', 'processing', 'wider', 'range', 'algorithms', 'applied', 'input', 'data', 'avoid', 'problems', 'buildup', 'noise', 'distortion', 'processing', 'images', 'defined', 'dimensions', 'digital', 'image', 'processing', 'modeled', 'form', 'multidimensional', 'systems', 'generation', 'development', 'digital', 'image', 'processing', 'factors', 'development', 'computers', 'development', 'mathematics', 'creation', 'improvement', 'discrete', 'mathematics', 'theory', 'demand', 'wide', 'range', 'applications', 'environment', 'agriculture', 'military', 'industry', 'medical', 'science', 'increased']"
276,30876902,"In probability theory and  statistics, a collection of random variables is independent and identically distributed if each random variable has the same probability distribution as the others and all are mutually independent. This property is usually abbreviated as i.i.d. or iid or IID. IID was first used in statistics. With the development of science, IID has been applied in different fields such as data mining and signal processing.",Independent and identically distributed random variables,1,0,"['probability', 'theory', 'statistics', 'collection', 'random', 'variables', 'independent', 'identically', 'distributed', 'random', 'variable', 'probability', 'distribution', 'mutually', 'independent', 'property', 'abbreviated', 'iid', 'iid', 'iid', 'iid', 'statistics', 'development', 'science', 'iid', 'applied', 'fields', 'data', 'mining', 'signal', 'processing']"
277,43558650,"In statistics and research design, an index is a composite statistic – a measure of changes in a representative group of individual data points, or in other words, a compound measure that aggregates multiple indicators. Indexes – also known as composite indicators – summarize and rank specific observations.Much data in the field of social sciences and sustainability are represented in various indices such as Gender Gap Index, Human Development Index or the Dow Jones Industrial Average. The ‘Report by the Commission on the Measurement of Economic Performance and Social Progress’, written by Joseph Stiglitz, Amartya Sen, and Jean-Paul Fitoussi in 2009  suggests that these measures have experienced a dramatic growth in recent years due to three concurring factors: 

improvements in the level of literacy (including statistical)
increased complexity of modern societies and economies, and
widespread availability of information technology.According to Earl Babbie, items in indexes are usually weighted equally, unless there are some reasons against it (for example, if two items reflect essentially the same aspect of a variable, they could have a weight of 0.5 each).According to the same author, constructing the items involves four steps. First, items should be selected based on their content validity, unidimensionality, the degree of specificity in which a dimension is to be measured, and their amount of variance. Items should be empirically related to one another, which leads to the second step of examining their multivariate relationships. Third, indexes scores are designed, which involves determining their score ranges and weights for the items. Finally, indexes should be validated, which involves testing whether they can predict indicators related to the measured variable not used in their construction.A handbook for the construction of composite indicators was published jointly by the OECD and by the European Commission's Joint Research Centre in 2008. The handbook – officially endorsed by the OECD high level statistical committee, describe ten recursive steps for developing an index:
Step 1: Theoretical framework
Step 2: Data selection
Step 3: Imputation of missing data
Step 4: Multivariate analysis
Step 5: Normalisation
Step 6: Weighting
Step 7: Aggregating indicators
Step 8: Sensitivity analysis
Step 9: Link to other measures
Step 10: VisualisationAs suggested by the list, many modelling choices are needed to construct a composite indicator, which makes their use controversial. The delicate issue of assigning and validating weights is discussed e.g. in. A sociological reading of the nature of composite indicators is offered by Paul-Marie Boulanger, who sees these measures at the intersection of three movements:
the democratisation of expertise, the concept that more knowledge is needed to tackle societal and environmental issues that can be provided by the sole experts – this line of thought connects to the concept of extended peer community developed by post-normal science
the impulse to the creation of a new public through a process of social discovery, which can be reconnected to the work of pragmatists such as John Dewey
the semiotic of Charles Sanders Peirce; Thus a CI is not just a sign or a number, but suggests an action or a behaviour.A subsequent work of the same author  analyses composite indicators in light of the social system theories of Niklas Luhmann to investigate how different measurements of progress are or are not taken up",Index (statistics),1,0,"['statistics', 'design', 'composite', 'statistic', 'measure', 'representative', 'group', 'individual', 'data', 'points', 'compound', 'measure', 'aggregates', 'multiple', 'indicators', 'indexes', 'composite', 'indicators', 'summarize', 'rank', 'specific', 'observationsmuch', 'data', 'field', 'social', 'sciences', 'sustainability', 'represented', 'indices', 'gender', 'gap', 'human', 'development', 'dow', 'jones', 'industrial', 'average', 'report', 'commission', 'measurement', 'economic', 'performance', 'social', 'progress', 'written', 'joseph', 'stiglitz', 'amartya', 'sen', 'jeanpaul', 'fitoussi', 'suggests', 'measures', 'experienced', 'dramatic', 'growth', 'years', 'concurring', 'factors', 'improvements', 'level', 'literacy', 'including', 'statistical', 'increased', 'complexity', 'modern', 'societies', 'economies', 'widespread', 'availability', 'technologyaccording', 'earl', 'babbie', 'items', 'indexes', 'weighted', 'equally', 'reasons', 'items', 'reflect', 'essentially', 'aspect', 'variable', 'weight', 'eachaccording', 'author', 'constructing', 'items', 'involves', 'steps', 'items', 'selected', 'based', 'content', 'validity', 'unidimensionality', 'degree', 'specificity', 'dimension', 'measured', 'variance', 'items', 'empirically', 'leads', 'step', 'examining', 'multivariate', 'relationships', 'indexes', 'scores', 'designed', 'involves', 'determining', 'score', 'ranges', 'weights', 'items', 'finally', 'indexes', 'validated', 'involves', 'testing', 'predict', 'indicators', 'measured', 'variable', 'constructiona', 'handbook', 'construction', 'composite', 'indicators', 'published', 'jointly', 'oecd', 'european', 'commissions', 'joint', 'centre', 'handbook', 'officially', 'endorsed', 'oecd', 'high', 'level', 'statistical', 'committee', 'recursive', 'steps', 'developing', 'step', 'theoretical', 'framework', 'step', 'data', 'selection', 'step', 'imputation', 'missing', 'data', 'step', 'multivariate', 'analysis', 'step', 'normalisation', 'step', 'weighting', 'step', 'aggregating', 'indicators', 'step', 'sensitivity', 'analysis', 'step', 'link', 'measures', 'step', 'visualisationas', 'suggested', 'list', 'modelling', 'choices', 'needed', 'construct', 'composite', 'indicator', 'controversial', 'delicate', 'issue', 'assigning', 'validating', 'weights', 'discussed', 'sociological', 'reading', 'nature', 'composite', 'indicators', 'offered', 'paulmarie', 'boulanger', 'sees', 'measures', 'intersection', 'movements', 'democratisation', 'expertise', 'concept', 'knowledge', 'needed', 'tackle', 'societal', 'environmental', 'issues', 'sole', 'experts', 'thought', 'connects', 'concept', 'extended', 'peer', 'community', 'developed', 'postnormal', 'science', 'impulse', 'creation', 'public', 'process', 'social', 'discovery', 'reconnected', 'work', 'pragmatists', 'john', 'dewey', 'semiotic', 'charles', 'sanders', 'peirce', 'ci', 'sign', 'number', 'suggests', 'action', 'behavioura', 'subsequent', 'work', 'author', 'analyses', 'composite', 'indicators', 'light', 'social', 'theories', 'niklas', 'luhmann', 'investigate', 'measurements', 'progress']"
278,16693606,"In probability theory and statistics, the index of dispersion, dispersion index, coefficient of dispersion, relative variance, or variance-to-mean ratio (VMR), like the coefficient of variation, is a normalized measure of the dispersion of a probability distribution: it is a measure used to quantify whether a set of observed occurrences are clustered or dispersed compared to a standard statistical model.
It is defined as the ratio of the variance 
  
    
      
        
          σ
          
            2
          
        
      
    
    {\displaystyle \sigma ^{2}}
   to the mean 
  
    
      
        μ
      
    
    {\displaystyle \mu }
  ,

  
    
      
        D
        =
        
          
            
              σ
              
                2
              
            
            μ
          
        
        .
      
    
    {\displaystyle D={\sigma ^{2} \over \mu }.}
  It is also known as the Fano factor, though this term is sometimes reserved for windowed data (the mean and variance are computed over a subpopulation), where the index of dispersion is used in the special case where the window is infinite. Windowing data is frequently done: the VMR is frequently computed over various intervals in time or small regions in space, which may be called ""windows"", and the resulting statistic called the Fano factor.
It is only defined when the mean 
  
    
      
        μ
      
    
    {\displaystyle \mu }
   is non-zero, and is generally only used for positive statistics, such as count data or time between events, or where the underlying distribution is assumed to be the exponential distribution or Poisson distribution.

",Index of dispersion,1,0,"['probability', 'theory', 'statistics', 'dispersion', 'dispersion', 'coefficient', 'dispersion', 'relative', 'variance', 'variancetomean', 'ratio', 'vmr', 'coefficient', 'variation', 'normalized', 'measure', 'dispersion', 'probability', 'distribution', 'measure', 'quantify', 'set', 'observed', 'occurrences', 'clustered', 'dispersed', 'compared', 'standard', 'statistical', 'model', 'defined', 'ratio', 'variance', 'σ', 'displaystyle', 'sigma', 'μ', 'displaystyle', 'mu', 'σ', 'μ', 'displaystyle', 'dsigma', 'mu', 'fano', 'factor', 'term', 'reserved', 'windowed', 'data', 'variance', 'computed', 'subpopulation', 'dispersion', 'special', 'case', 'window', 'infinite', 'windowing', 'data', 'frequently', 'vmr', 'frequently', 'computed', 'intervals', 'time', 'small', 'regions', 'space', 'called', 'windows', 'statistic', 'called', 'fano', 'factor', 'defined', 'μ', 'displaystyle', 'mu', 'nonzero', 'generally', 'positive', 'statistics', 'count', 'data', 'time', 'events', 'underlying', 'distribution', 'assumed', 'exponential', 'distribution', 'poisson', 'distribution']"
281,185493,"Informal mathematics, also called naïve mathematics, has historically been the predominant form of mathematics at most times and in most cultures, and is the subject of modern ethno-cultural studies of mathematics. The philosopher Imre Lakatos in his Proofs and Refutations aimed to sharpen the formulation of informal mathematics, by reconstructing its role in nineteenth century mathematical debates and concept formation, opposing the predominant assumptions of mathematical formalism.  Informality may not discern between statements given by inductive reasoning (as in approximations which are deemed ""correct"" merely because they are useful), and statements derived by deductive reasoning.",Informal mathematics,1,0,"['informal', 'mathematics', 'called', 'naïve', 'mathematics', 'historically', 'predominant', 'form', 'mathematics', 'times', 'cultures', 'subject', 'modern', 'ethnocultural', 'studies', 'mathematics', 'philosopher', 'imre', 'lakatos', 'proofs', 'refutations', 'aimed', 'sharpen', 'formulation', 'informal', 'mathematics', 'reconstructing', 'role', 'nineteenth', 'century', 'mathematical', 'debates', 'concept', 'formation', 'opposing', 'predominant', 'assumptions', 'mathematical', 'formalism', 'informality', 'discern', 'statements', 'inductive', 'reasoning', 'approximations', 'deemed', 'correct', 'statements', 'derived', 'deductive', 'reasoning']"
282,18985062,"Information is that portion of the content of a signal or message which conveys meaning.  Information is not knowledge itself, but rather the representation of it.  Information is often layered:  The data available at one level are processed into information to be interpreted at the next level.  For example, in written text each symbol or letter conveys information relevant to the word it is part of, each word conveys information relevant to the phrase it is part of, each phrase conveys information relevant to the sentence it is part of, and so on until information at the top level is interpreted and becomes knowledge of the pertinent domain.  In a digital signal there is a base level of information that conveys bits which may then be interpreted into the symbols, letters, numbers, or structures that convey the information available at the next level up.  The key characteristic of information is that it is subject to interpretation and processing.
The concept of information is used to describe various concepts, including constraint, communication, control, data, form, education, knowledge, meaning, understanding, mental stimuli, pattern, perception, proposition, representation, and entropy.
The derivation of information from a signal or message may be thought of as the resolution of ambiguity or uncertainty that arises during the interpretation of patterns within the signal or message.Information may be structured as data. Redundant data can be compressed up to an optimal size, which is the theoretical limit of compression.
The information available through a collection of data may be derived by analysis.  For example, data may be collected from a single customer’s order at a restaurant.  The information available from many orders may be analyzed, and then becomes knowledge that is put to use when the business subsequently is able to identify the most popular or least popular dish.Information can be transmitted in time, via data storage, and space, via communication and telecommunication. Information is expressed either as the content of a message or through direct or indirect observation. That which is perceived can be construed as a message in its own right, and in that sense, information is always conveyed as the content of a message.
Information can be encoded into various forms for transmission and interpretation (for example, information may be encoded into a sequence of signs, or transmitted via a signal). It can also be encrypted for safe storage and communication.
The uncertainty of an event is measured by its probability of occurrence. Uncertainty is inversely proportional to the probability of occurrence. Information theory takes advantage of this by concluding that more uncertain events require more information to resolve their uncertainty. The bit is a typical unit of information. It is 'that which reduces uncertainty by half'. Other units such as the nat may be used. For example, the information encoded in one ""fair"" coin flip is log2(2/1) = 1 bit, and in two fair coin flips is log2(4/1) = 2 bits. A 2011 Science article estimated that 97% of technologically stored information was already in digital bits in 2007, and that the year 2002 was the beginning of the digital age for information storage (with digital storage capacity bypassing analog for the first time).

",Information,1,0,"['portion', 'content', 'signal', 'message', 'conveys', 'meaning', 'knowledge', 'representation', 'layered', 'data', 'level', 'processed', 'interpreted', 'level', 'written', 'text', 'symbol', 'letter', 'conveys', 'relevant', 'word', 'word', 'conveys', 'relevant', 'phrase', 'phrase', 'conveys', 'relevant', 'sentence', 'level', 'interpreted', 'knowledge', 'pertinent', 'domain', 'digital', 'signal', 'base', 'level', 'conveys', 'bits', 'interpreted', 'symbols', 'letters', 'numbers', 'structures', 'convey', 'level', 'key', 'characteristic', 'subject', 'interpretation', 'processing', 'concept', 'concepts', 'including', 'constraint', 'communication', 'control', 'data', 'form', 'education', 'knowledge', 'meaning', 'understanding', 'mental', 'stimuli', 'pattern', 'perception', 'proposition', 'representation', 'entropy', 'derivation', 'signal', 'message', 'thought', 'resolution', 'ambiguity', 'uncertainty', 'arises', 'interpretation', 'patterns', 'signal', 'messageinformation', 'structured', 'data', 'redundant', 'data', 'compressed', 'optimal', 'size', 'theoretical', 'limit', 'compression', 'collection', 'data', 'derived', 'analysis', 'data', 'collected', 'single', 'customers', 'order', 'restaurant', 'orders', 'analyzed', 'knowledge', 'business', 'subsequently', 'identify', 'popular', 'popular', 'dishinformation', 'transmitted', 'time', 'data', 'storage', 'space', 'communication', 'telecommunication', 'expressed', 'content', 'message', 'direct', 'indirect', 'observation', 'perceived', 'construed', 'message', 'sense', 'conveyed', 'content', 'message', 'encoded', 'forms', 'transmission', 'interpretation', 'encoded', 'sequence', 'signs', 'transmitted', 'signal', 'encrypted', 'safe', 'storage', 'communication', 'uncertainty', 'event', 'measured', 'probability', 'occurrence', 'uncertainty', 'inversely', 'proportional', 'probability', 'occurrence', 'theory', 'takes', 'advantage', 'concluding', 'uncertain', 'events', 'require', 'resolve', 'uncertainty', 'bit', 'typical', 'unit', 'reduces', 'uncertainty', 'units', 'nat', 'encoded', 'fair', 'coin', 'flip', 'log', 'bit', 'fair', 'coin', 'flips', 'log', 'bits', 'science', 'article', 'estimated', 'technologically', 'stored', 'digital', 'bits', 'year', 'digital', 'age', 'storage', 'digital', 'storage', 'capacity', 'bypassing', 'analog', 'time']"
284,1514405,"In statistics, econometrics, epidemiology and related disciplines, the method of instrumental variables (IV) is used to estimate causal relationships when controlled experiments are not feasible or when a treatment is not successfully delivered to every unit in a randomized experiment. Intuitively, IVs are used when an explanatory variable of interest is correlated with the error term, in which case ordinary least squares and ANOVA give biased results. A valid instrument induces changes in the explanatory variable but has no independent effect on the dependent variable, allowing a researcher to uncover the causal effect of the explanatory variable on the dependent variable.
Instrumental variable methods allow for consistent estimation when the explanatory variables (covariates) are correlated with the error terms in a regression model. Such correlation may occur when:

changes in the dependent variable change the value of at least one of the covariates (""reverse"" causation),
there are omitted variables that affect both the dependent and independent variables, or
the covariates are subject to non-random measurement error.Explanatory variables that suffer from one or more of these issues in the context of a regression are sometimes referred to as endogenous. In this situation, ordinary least squares produces biased and inconsistent estimates. However, if an instrument is available, consistent estimates may still be obtained. An instrument is a variable that does not itself belong in the explanatory equation but is correlated with the endogenous explanatory variables, conditionally on the value of other covariates.
In linear models, there are two main requirements for using IVs:

The instrument must be correlated with the endogenous explanatory variables, conditionally on the other covariates. If this correlation is strong, then the instrument is said to have a strong first stage. A weak correlation may provide misleading inferences about parameter estimates and standard errors.
The instrument cannot be correlated with the error term in the explanatory equation, conditionally on the other covariates. In other words, the instrument cannot suffer from the same problem as the original predicting variable. If this condition is met, then the instrument is said to satisfy the exclusion restriction.",Instrumental variables estimation,1,0,"['statistics', 'econometrics', 'epidemiology', 'disciplines', 'method', 'instrumental', 'variables', 'iv', 'estimate', 'causal', 'relationships', 'controlled', 'experiments', 'feasible', 'treatment', 'delivered', 'unit', 'randomized', 'experiment', 'intuitively', 'ivs', 'explanatory', 'variable', 'correlated', 'error', 'term', 'case', 'ordinary', 'squares', 'anova', 'biased', 'valid', 'instrument', 'induces', 'explanatory', 'variable', 'independent', 'dependent', 'variable', 'allowing', 'researcher', 'uncover', 'causal', 'explanatory', 'variable', 'dependent', 'variable', 'instrumental', 'variable', 'methods', 'consistent', 'estimation', 'explanatory', 'variables', 'covariates', 'correlated', 'error', 'terms', 'regression', 'model', 'correlation', 'occur', 'dependent', 'variable', 'change', 'covariates', 'reverse', 'causation', 'variables', 'affect', 'dependent', 'independent', 'variables', 'covariates', 'subject', 'nonrandom', 'measurement', 'errorexplanatory', 'variables', 'suffer', 'issues', 'context', 'regression', 'referred', 'endogenous', 'situation', 'ordinary', 'squares', 'produces', 'biased', 'inconsistent', 'estimates', 'instrument', 'consistent', 'estimates', 'instrument', 'variable', 'belong', 'explanatory', 'equation', 'correlated', 'endogenous', 'explanatory', 'variables', 'conditionally', 'covariates', 'linear', 'models', 'main', 'requirements', 'ivs', 'instrument', 'correlated', 'endogenous', 'explanatory', 'variables', 'conditionally', 'covariates', 'correlation', 'strong', 'instrument', 'strong', 'stage', 'weak', 'correlation', 'provide', 'misleading', 'inferences', 'parameter', 'estimates', 'standard', 'errors', 'instrument', 'correlated', 'error', 'term', 'explanatory', 'equation', 'conditionally', 'covariates', 'instrument', 'suffer', 'problem', 'original', 'predicting', 'variable', 'condition', 'met', 'instrument', 'satisfy', 'exclusion', 'restriction']"
285,14563,"An integer (from the Latin integer meaning ""whole"") is colloquially defined as a number that can be written without a fractional component. For example, 21, 4, 0, and −2048 are integers, while 9.75, 5+1/2, and √2 are not.
The set of integers consists of zero (0), the positive natural numbers (1, 2, 3, ...), also called whole numbers or counting numbers, and their additive inverses (the negative integers, i.e., −1, −2, −3, ...). The set of integers is often denoted by the boldface (Z) or blackboard bold 
  
    
      
        (
        
          Z
        
        )
      
    
    {\displaystyle (\mathbb {Z} )}
   letter ""Z""—standing originally for the German word Zahlen (""numbers"").
  
    
      
        
          Z
        
      
    
    {\displaystyle \mathbb {Z} }
   is a subset of the set of all rational numbers 
  
    
      
        
          Q
        
      
    
    {\displaystyle \mathbb {Q} }
  , which in turn is a subset of the real numbers 
  
    
      
        
          R
        
      
    
    {\displaystyle \mathbb {R} }
  .  Like the natural numbers, 
  
    
      
        
          Z
        
      
    
    {\displaystyle \mathbb {Z} }
   is countably infinite.
The integers form the smallest group and the smallest ring containing the natural numbers. In algebraic number theory, the integers are sometimes qualified as rational integers to distinguish them from the more general algebraic integers. In fact, (rational) integers are algebraic integers that are also rational numbers.

",Integer,1,0,"['integer', 'latin', 'integer', 'meaning', 'colloquially', 'defined', 'number', 'written', 'fractional', 'component', 'integers', 'set', 'integers', 'consists', 'positive', 'natural', 'numbers', 'called', 'numbers', 'counting', 'numbers', 'additive', 'inverses', 'negative', 'integers', 'set', 'integers', 'denoted', 'boldface', 'blackboard', 'bold', 'displaystyle', 'mathbb', 'letter', 'zstanding', 'originally', 'german', 'word', 'zahlen', 'numbers', 'displaystyle', 'mathbb', 'subset', 'set', 'rational', 'numbers', 'displaystyle', 'mathbb', 'turn', 'subset', 'real', 'numbers', 'displaystyle', 'mathbb', 'natural', 'numbers', 'displaystyle', 'mathbb', 'countably', 'infinite', 'integers', 'form', 'smallest', 'group', 'smallest', 'ring', 'natural', 'numbers', 'algebraic', 'number', 'theory', 'integers', 'qualified', 'rational', 'integers', 'distinguish', 'general', 'algebraic', 'integers', 'fact', 'rational', 'integers', 'algebraic', 'integers', 'rational', 'numbers']"
286,14794,"In computer science, an integer is a datum of integral data type, a data type that represents some range of mathematical integers. Integral data types may be of different sizes and may or may not be allowed to contain negative values. Integers are commonly represented in a computer as a group of binary digits (bits). The size of the grouping varies so the set of integer sizes available varies between different types of computers. Computer hardware nearly always provides a way to represent a processor register or memory address as an integer.",Integer (computer science),1,0,"['science', 'integer', 'datum', 'integral', 'data', 'type', 'data', 'type', 'represents', 'range', 'mathematical', 'integers', 'integral', 'data', 'types', 'sizes', 'allowed', 'negative', 'values', 'integers', 'commonly', 'represented', 'group', 'binary', 'digits', 'bits', 'size', 'grouping', 'varies', 'set', 'integer', 'sizes', 'varies', 'types', 'computers', 'hardware', 'represent', 'processor', 'register', 'memory', 'address', 'integer']"
287,443083,"In statistics, an interaction may arise when considering the relationship among three or more variables, and describes a situation in which the effect of one causal variable on an outcome depends on the state of a second causal variable (that is, when effects of the two causes are not additive). Although commonly thought of in terms of causal relationships, the concept of an interaction can also describe non-causal associations. Interactions are often considered in the context of regression analyses or factorial experiments.
The presence of interactions can have important implications for the interpretation of statistical models.  If two variables of interest interact, the relationship between each of the interacting variables and a third ""dependent variable"" depends on the value of the other interacting variable.  In practice, this makes it more difficult to predict the consequences of changing the value of a variable, particularly if the variables it interacts with are hard to measure or difficult to control.
The notion of ""interaction"" is closely related to that of moderation that is common in social and health science research: the interaction between an explanatory variable and an environmental variable suggests that the effect of the explanatory variable has been moderated or modified by the environmental variable.",Interaction (statistics),1,0,"['statistics', 'interaction', 'relationship', 'variables', 'describes', 'situation', 'causal', 'variable', 'outcome', 'depends', 'causal', 'variable', 'effects', 'additive', 'commonly', 'thought', 'terms', 'causal', 'relationships', 'concept', 'interaction', 'noncausal', 'associations', 'interactions', 'considered', 'context', 'regression', 'analyses', 'factorial', 'experiments', 'presence', 'interactions', 'implications', 'interpretation', 'statistical', 'models', 'variables', 'interact', 'relationship', 'interacting', 'variables', 'dependent', 'variable', 'depends', 'interacting', 'variable', 'practice', 'difficult', 'predict', 'consequences', 'changing', 'variable', 'variables', 'interacts', 'hard', 'measure', 'difficult', 'control', 'notion', 'interaction', 'closely', 'moderation', 'common', 'social', 'health', 'science', 'interaction', 'explanatory', 'variable', 'environmental', 'variable', 'suggests', 'explanatory', 'variable', 'moderated', 'modified', 'environmental', 'variable']"
